uri,relation,start,end,extra
"/a/[/r/IsA/,/c/en/blouse/,/c/en/bodice/n/]",/r/IsA,/c/en/blouse,/c/en/bodice/n,"{""dataset"": ""/d/wiktionary/en"", ""license"": ""cc:by-sa/4.0"", ""sources"": [{""contributor"": ""/s/resource/wiktionary/en"", ""process"": ""/s/process/wikiparsec/2""}], ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/blouse/,/c/en/dress_shirt/n/]",/r/IsA,/c/en/blouse,/c/en/dress_shirt/n,"{""dataset"": ""/d/wiktionary/en"", ""license"": ""cc:by-sa/4.0"", ""sources"": [{""contributor"": ""/s/resource/wiktionary/en"", ""process"": ""/s/process/wikiparsec/2""}], ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/board/,/c/en/council/]",/r/IsA,/c/en/board,/c/en/council,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/abhijeet""}], ""surfaceEnd"": ""a council"", ""surfaceStart"": ""the board"", ""surfaceText"": ""[[the board]] is [[a council]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/board/,/c/en/dashboard/n/]",/r/IsA,/c/en/board,/c/en/dashboard/n,"{""dataset"": ""/d/wiktionary/en"", ""license"": ""cc:by-sa/4.0"", ""sources"": [{""contributor"": ""/s/resource/wiktionary/en"", ""process"": ""/s/process/wikiparsec/2""}], ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/board/,/c/en/piece_of_wood/]",/r/IsA,/c/en/board,/c/en/piece_of_wood,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/shaleane""}], ""surfaceEnd"": ""a piece of wood"", ""surfaceStart"": ""A board"", ""surfaceText"": ""[[A board]] is [[a piece of wood]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/book/,/c/en/device/]",/r/IsA,/c/en/book,/c/en/device,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/push""}], ""surfaceEnd"": ""a device"", ""surfaceStart"": ""a book"", ""surfaceText"": ""[[a book]] is [[a device]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/book/,/c/en/document_type/]",/r/IsA,/c/en/book,/c/en/document_type,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/wmcguire""}], ""surfaceEnd"": ""a document type"", ""surfaceStart"": ""book"", ""surfaceText"": ""[[book]] is [[a document type]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/book/,/c/en/object/]",/r/IsA,/c/en/book,/c/en/object,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/chimpy""}], ""surfaceEnd"": ""an object"", ""surfaceStart"": ""A book"", ""surfaceText"": ""[[A book]] is [[an object]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/book/,/c/en/slang_for_leaving/]",/r/IsA,/c/en/book,/c/en/slang_for_leaving,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/halelaniau""}], ""surfaceEnd"": ""slang for leaving"", ""surfaceStart"": ""\""To book\"""", ""surfaceText"": ""[[\""To book\""]] is [[slang for leaving]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/book/,/c/en/story_for_mind/]",/r/IsA,/c/en/book,/c/en/story_for_mind,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/browni""}], ""surfaceEnd"": ""a story for the mind"", ""surfaceStart"": ""A book"", ""surfaceText"": ""[[A book]] is [[a story for the mind]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/broccoli/,/c/en/green_vegetable/]",/r/IsA,/c/en/broccoli,/c/en/green_vegetable,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/dev""}, {""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/phraughy""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/dev""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/pmelidis""}], ""surfaceEnd"": ""a green vegetable"", ""surfaceStart"": ""Broccoli"", ""surfaceText"": ""[[Broccoli]] is [[a green vegetable]]"", ""weight"": 3.464}"
"/a/[/r/IsA/,/c/en/building/,/c/en/artificial_structure/]",/r/IsA,/c/en/building,/c/en/artificial_structure,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/is_a_cleanup"", ""contributor"": ""/s/contributor/omcs/lvbuddhist""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/browni""}], ""surfaceEnd"": ""a artificial structure"", ""surfaceStart"": ""A building"", ""surfaceText"": ""[[A building]] is [[a artificial structure]]"", ""weight"": 2.0}"
"/a/[/r/IsA/,/c/en/building/,/c/en/bigger_than_person/]",/r/IsA,/c/en/building,/c/en/bigger_than_person,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/schueler""}], ""surfaceEnd"": ""bigger than a person"", ""surfaceStart"": ""a building"", ""surfaceText"": ""[[a building]] is [[bigger than a person]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/building/,/c/en/condominium/]",/r/IsA,/c/en/building,/c/en/condominium,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/halelaniau""}], ""surfaceEnd"": ""a condominium"", ""surfaceStart"": ""My building"", ""surfaceText"": ""[[My building]] is [[a condominium]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/building/,/c/en/constructed_structure/]",/r/IsA,/c/en/building,/c/en/constructed_structure,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/halelaniau""}], ""surfaceEnd"": ""a constructed structure"", ""surfaceStart"": ""a building"", ""surfaceText"": ""[[a building]] is [[a constructed structure]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/building/,/c/en/form_of_creation/]",/r/IsA,/c/en/building,/c/en/form_of_creation,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/eag517""}], ""surfaceEnd"": ""a form of creation"", ""surfaceStart"": ""building"", ""surfaceText"": ""[[building]] is [[a form of creation]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/building/,/c/en/where_sex_happens/]",/r/IsA,/c/en/building,/c/en/where_sex_happens,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/johnweiss""}], ""surfaceEnd"": ""where sex happens"", ""surfaceStart"": ""a building"", ""surfaceText"": ""[[a building]] is [[where sex happens]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/butter/,/c/en/dairy_product/]",/r/IsA,/c/en/butter,/c/en/dairy_product,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/ajnewbold""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/basilwhite""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/deanp""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/desalvionjr""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/jdkcubed""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/jeffmuir""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/sporkiness""}], ""surfaceEnd"": ""a dairy product"", ""surfaceStart"": ""Butter"", ""surfaceText"": ""[[Butter]] is [[a dairy product]]"", ""weight"": 4.899}"
"/a/[/r/IsA/,/c/en/butter/,/c/en/food/]",/r/IsA,/c/en/butter,/c/en/food,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/beanmom""}, {""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/ssnelgrove""}, {""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/thomasng""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/basilwhite""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/beanmom""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/desalvionjr""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/jdkcubed""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/jeffmuir""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/noahbedford""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/sporkiness""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/ssnelgrove""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/thomasng""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/trevorm""}], ""surfaceEnd"": ""a food"", ""surfaceStart"": ""butter"", ""surfaceText"": ""[[butter]] is [[a food]]"", ""weight"": 7.483}"
"/a/[/r/IsA/,/c/en/butter/,/c/en/ingredient_often/]",/r/IsA,/c/en/butter,/c/en/ingredient_often,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/is_a_cleanup"", ""contributor"": ""/s/contributor/omcs/brainsofsteel""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/basilwhite""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/jdkcubed""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/jeffmuir""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/trevorm""}], ""surfaceEnd"": ""an ingredient often"", ""surfaceStart"": ""butter"", ""surfaceText"": ""[[butter]] is [[an ingredient often]]"", ""weight"": 4.0}"
"/a/[/r/IsA/,/c/en/butter/,/c/en/like_solid_milk/]",/r/IsA,/c/en/butter,/c/en/like_solid_milk,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/pavlos""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/jdkcubed""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/trevorm""}], ""surfaceEnd"": ""like solid milk"", ""surfaceStart"": ""Butter"", ""surfaceText"": ""[[Butter]] is [[like solid milk]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/button/,/c/en/fastening/]",/r/IsA,/c/en/button,/c/en/fastening,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/commons_manual_entry"", ""contributor"": ""/s/contributor/omcs/richard_h0lt""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/browni""}], ""surfaceEnd"": ""fastening"", ""surfaceStart"": ""a button"", ""surfaceText"": ""[[a button]] is a kind of [[fastening]]."", ""weight"": 2.0}"
"/a/[/r/IsA/,/c/en/cabinet/,/c/en/furniture/]",/r/IsA,/c/en/cabinet,/c/en/furniture,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/lordprotectorguy""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/chloe""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/sandos""}], ""surfaceEnd"": ""furniture"", ""surfaceStart"": ""A cabinet"", ""surfaceText"": ""[[A cabinet]] is a type of [[furniture]]"", ""weight"": 2.828}"
"/a/[/r/IsA/,/c/en/cabinet/,/c/en/storange_device_sometimes/]",/r/IsA,/c/en/cabinet,/c/en/storange_device_sometimes,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/phallout""}], ""surfaceEnd"": ""a storange device, sometimes"", ""surfaceStart"": ""a cabinet"", ""surfaceText"": ""[[a cabinet]] is [[a storange device, sometimes]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/candle/,/c/en/light/n/]",/r/IsA,/c/en/candle,/c/en/light/n,"{""dataset"": ""/d/wiktionary/de"", ""license"": ""cc:by-sa/4.0"", ""sources"": [{""contributor"": ""/s/resource/wiktionary/de"", ""process"": ""/s/process/wikiparsec/2""}], ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/candle/,/c/en/stick_of_wax/]",/r/IsA,/c/en/candle,/c/en/stick_of_wax,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/dev""}], ""surfaceEnd"": ""a stick of wax"", ""surfaceStart"": ""a candle"", ""surfaceText"": ""[[a candle]] is [[a stick of wax]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/carpet/,/c/en/floor_covering/]",/r/IsA,/c/en/carpet,/c/en/floor_covering,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/dev""}], ""surfaceEnd"": ""a floor covering"", ""surfaceStart"": ""a carpet"", ""surfaceText"": ""[[a carpet]] is [[a floor covering]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/carpet/,/c/en/luxury/]",/r/IsA,/c/en/carpet,/c/en/luxury,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/jonk""}], ""surfaceEnd"": ""a luxury"", ""surfaceStart"": ""carpet"", ""surfaceText"": ""[[carpet]] is [[a luxury]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/carpet/,/c/en/usually_on_floor/]",/r/IsA,/c/en/carpet,/c/en/usually_on_floor,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/cfalz""}], ""surfaceEnd"": ""usually on the floor"", ""surfaceStart"": ""a carpet"", ""surfaceText"": ""[[a carpet]] is [[usually on the floor]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/ceiling/,/c/en/else's_floor/]",/r/IsA,/c/en/ceiling,/c/en/else's_floor,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/novalyte""}], ""surfaceEnd"": ""someone else's floor"", ""surfaceStart"": ""your ceiling"", ""surfaceText"": ""[[your ceiling]] is [[someone else's floor]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/ceiling/,/c/en/higher_than_floor/]",/r/IsA,/c/en/ceiling,/c/en/higher_than_floor,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/ariadne""}], ""surfaceEnd"": ""higher than the floor"", ""surfaceStart"": ""A ceiling"", ""surfaceText"": ""[[A ceiling]] is [[higher than the floor]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/ceiling/,/c/en/horizontal_plane/]",/r/IsA,/c/en/ceiling,/c/en/horizontal_plane,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/is_a_cleanup"", ""contributor"": ""/s/contributor/omcs/phraughy""}], ""surfaceEnd"": ""a horizontal plane"", ""surfaceStart"": ""a ceiling"", ""surfaceText"": ""[[a ceiling]] is [[a horizontal plane]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/ceiling/,/c/en/part_of_room/]",/r/IsA,/c/en/ceiling,/c/en/part_of_room,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/guru1""}], ""surfaceEnd"": ""the part of a room"", ""surfaceStart"": ""A ceiling"", ""surfaceText"": ""[[A ceiling]] is [[the part of a room]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/chair/,/c/en/commortable_to_sit/]",/r/IsA,/c/en/chair,/c/en/commortable_to_sit,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/khilska""}], ""surfaceEnd"": ""commortable to sit"", ""surfaceStart"": ""the chair"", ""surfaceText"": ""[[the chair]] is [[commortable to sit]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/chair/,/c/en/place/]",/r/IsA,/c/en/chair,/c/en/place,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/dev""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/kurros""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/pupeluv""}], ""surfaceEnd"": ""a place"", ""surfaceStart"": ""a chair"", ""surfaceText"": ""[[a chair]] is [[a place]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/chair/,/c/en/stool/]",/r/IsA,/c/en/chair,/c/en/stool,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/moriarty""}], ""surfaceEnd"": ""a stool"", ""surfaceStart"": ""a chair"", ""surfaceText"": ""[[a chair]] is [[a stool]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/chest/,/c/en/container/]",/r/IsA,/c/en/chest,/c/en/container,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/schickel""}], ""surfaceEnd"": ""a container"", ""surfaceStart"": ""A chest"", ""surfaceText"": ""[[A chest]] is [[a container]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/chest/,/c/en/part_of_body/]",/r/IsA,/c/en/chest,/c/en/part_of_body,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/junebug""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/endolith""}], ""surfaceEnd"": ""a part of your body"", ""surfaceStart"": ""A chest"", ""surfaceText"": ""[[A chest]] is [[a part of your body]]"", ""weight"": 2.0}"
"/a/[/r/IsA/,/c/en/chili/,/c/en/country/]",/r/IsA,/c/en/chili,/c/en/country,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/anaitis""}], ""surfaceEnd"": ""a country"", ""surfaceStart"": ""Chili"", ""surfaceText"": ""[[Chili]] is [[a country]]"", ""weight"": 1.0}"
